Year,quarter,citymarketid,strength_pax,degree,HHI_neighbors,TotalFaredPax_city,TotalPerLFMkts_city,TotalPerPrem_city,city_clean,lat,lon
2022,2,30868,445.0,2,0.5009115010730968,168360.0,0.0,0.1349,"Columbia, SC",34.0008322,-81.035147
2022,2,30977,102874.0,65,0.03654768777006965,4946365.0,0.77455,0.0177999999999999,"Chicago, IL",41.88325,-87.6323879
2022,2,30994,8366.0,15,0.11685728163623936,1133010.0,0.7633,-0.0292,"Charleston, SC",32.7833163,-79.9319664
2022,2,31003,478.0,2,0.5,198310.0,0.5274,-0.07,"Cedar Rapids/Iowa City, IA",41.9778795,-91.6656232
2022,2,31057,27414.0,36,0.048838818378884485,3026290.0,0.4456,0.1495,"Charlotte, NC",35.2270768,-80.84089329999999
2022,2,31066,12974.0,22,0.05728243908813464,759770.0,0.927999999999999,-0.2662,"Columbus, OH",39.9625112,-83.0032218
2022,2,31123,18576.0,27,0.04639403361732624,2080820.0,0.9433,0.0163,"St. Louis, MO",38.62742799999999,-90.1982439
2022,2,31135,5181.0,11,0.12396254617771994,775720.0,0.9712,-0.2898,"Myrtle Beach, SC",33.6954218,-78.8802094
2022,2,31136,9432.0,15,0.10534212659914348,1295750.0,0.8222,0.05290000000000001,"Jacksonville, FL",30.3297566,-81.6591529
2022,2,31267,244.0,1,1.0,199320.0,0.1014,0.0341,"Dayton, OH",39.7592225,-84.1936144
2022,2,31295,35111.0,35,0.04341215159265737,3607370.0,0.7736,0.0789,"Detroit, MI",42.32971819999999,-83.0424533
2022,2,31423,2558.0,8,0.13272836418698394,513680.0,0.8017,-0.0548,"Des Moines, IA",41.5896139,-93.6163963
2022,2,31453,53900.0,51,0.038433757972745515,2744710.0,0.8396,0.00639999999999999,"Houston, TX",29.7600771,-95.3701108
2022,2,31454,85729.0,54,0.045544906342750345,8267960.0,0.9438,-0.0946,"Orlando, FL",28.5383832,-81.3789269
2022,2,31481,912.0,3,0.3497157779316713,300990.0,0.8546,0.0774,"Panama City, FL",30.1588129,-85.6602058
2022,2,31504,1072.0,3,0.3347644937625306,440480.0,0.8519,-0.1226,"Valparaiso, FL",30.5085309,-86.50272819999999
2022,2,31603,1475.0,4,0.29499798908359665,265130.0,0.6816,-0.1152,"Eugene, OR",44.052121,-123.0896705
2022,2,31624,432.0,1,1.0,254850.0,0.1996,0.1306,"Key West, FL",24.5550593,-81.7799871
2022,2,31637,238.0,1,1.0,130870.0,0.5838,-0.0407,"Fargo, ND",46.8771863,-96.7898034
2022,2,31638,1220.0,4,0.29346009137328677,329120.0,0.7016,0.0078,"Fresno, CA",36.7377981,-119.7871247
2022,2,31650,39119.0,44,0.03699871596292922,3993910.0,0.9401,0.0516,"Minneapolis/St. Paul, MN",44.9374831,-93.2009998
2022,2,31703,177323.0,72,0.03952476964504306,2775238.33333333,0.829349999999999,-0.1068,"New York City, NY",40.7127753,-74.0059728
2022,2,31714,19091.0,24,0.07672579455985394,2088820.0,0.9198,-0.0167,"Fort Myers, FL",26.6409247,-81.8605575
2022,2,31775,345.0,1,1.0,196730.0,0.5969,-0.1441,"Sioux Falls, SD",43.5460223,-96.731265
2022,2,31834,763.0,3,0.34221506126227946,289100.0,0.4554,0.2076,"Fayetteville, AR",36.0618562,-94.1579584
2022,2,31871,1279.0,4,0.2733621421641834,370650.0,0.517,0.1345,"Greenville/Spartanburg, SC",34.8332582,-82.2975348
2022,2,31884,4675.0,11,0.10656071377505791,667840.0,0.6818,-0.0426,"Spokane, WA",47.6579711,-117.4235319
