Year,quarter,citymarketid_1,citymarketid_2,passengers,fare,nsmiles,fare_lg,fare_low,lf_ms,large_ms,carrier_lg,carrier_low,fare_pax_wavg,city1_clean,lat1,lon1,city2_clean,lat2,lon2
2022,1,30194,35412,164.0,283.76,771.0,281.82,281.82,0.9005,0.9005,AA,AA,283.76,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Knoxville, TN",35.965266,-83.923304
2022,1,30198,30559,169.0,213.53,2125.0,219.04,182.13,0.1059,0.6132,AS,AA,213.53,"Pittsburgh, PA",40.4386612,-79.99723519999999,"Seattle, WA",47.6061389,-122.3328481
2022,1,30198,30852,193.0,145.17,210.0,142.79,140.8,0.254,0.5264,AA,WN,145.17,"Pittsburgh, PA",40.4386612,-79.99723519999999,"Washington, DC",38.9072873,-77.0369274
2022,1,30198,32457,211.0,315.39,2254.0,377.92,254.65,0.1787,0.2859,UA,WN,315.39,"Pittsburgh, PA",40.4386612,-79.99723519999999,"San Francisco, CA",37.7749295,-122.4194155
2022,1,30198,33195,610.0,161.8,878.0,185.35,105.55,0.2564,0.4942,WN,NK,161.8,"Pittsburgh, PA",40.4386612,-79.99723519999999,"Tampa, FL",27.9516896,-82.45875269999999
2022,1,30198,34986,280.0,159.84,912.0,173.13,95.73,0.2562,0.6089,WN,G4,159.84,"Pittsburgh, PA",40.4386612,-79.99723519999999,"Sarasota/Bradenton, FL",27.336465,-82.5310117
2022,1,30255,30852,252.0,251.6,641.0,254.16,237.73,0.1909,0.6495,AA,UA,251.6,"Huntsville, AL",34.7295497,-86.5853155,"Washington, DC",38.9072873,-77.0369274
2022,1,30257,30397,164.0,234.23,853.0,241.65,173.66,0.0325,0.8137,DL,UA,234.23000000000002,"Albany, NY",42.6518095,-73.75447070000001,"Atlanta, GA",33.7501275,-84.3885209
2022,1,30257,30852,191.0,170.16,325.0,187.87,147.49,0.3878,0.4402,AA,WN,170.16,"Albany, NY",42.6518095,-73.75447070000001,"Washington, DC",38.9072873,-77.0369274
2022,1,30257,31454,678.0,190.8,1073.0,207.78,104.19,0.1056,0.4224,WN,F9,190.8,"Albany, NY",42.6518095,-73.75447070000001,"Orlando, FL",28.5383832,-81.3789269
2022,1,30257,32467,444.0,188.84,1225.0,185.95,185.95,0.4781,0.4781,B6,B6,188.84,"Albany, NY",42.6518095,-73.75447070000001,"Miami, FL",25.7616798,-80.1917902
2022,1,30257,33195,343.0,173.46,1138.0,205.82,106.36,0.1384,0.3986,WN,G4,173.46,"Albany, NY",42.6518095,-73.75447070000001,"Tampa, FL",27.9516896,-82.45875269999999
2022,1,30279,30194,232.0,150.86,323.0,139.91,139.91,0.5959,0.5959,WN,WN,150.86,"Amarillo, TX",35.2069816,-101.8320065,"Dallas/Fort Worth, TX",32.7766642,-96.7969879
2022,1,30325,30198,396.0,223.56,1290.0,234.53,199.68,0.3528,0.5632,UA,WN,223.55999999999997,"Denver, CO",39.7392358,-104.990251,"Pittsburgh, PA",40.4386612,-79.99723519999999
2022,1,30325,30436,474.0,180.46,639.0,169.96,169.96,0.5505,0.5505,WN,WN,180.46,"Denver, CO",39.7392358,-104.990251,"Tucson, AZ",32.2539787,-110.9741769
2022,1,30325,30466,3188.0,172.47,602.0,183.4,104.64,0.1444,0.4357,WN,F9,172.47,"Denver, CO",39.7392358,-104.990251,"Phoenix, AZ",33.4482948,-112.0725488
2022,1,30325,30529,233.0,271.12,1671.0,269.28,252.85,0.2119,0.6424,UA,WN,271.12,"Denver, CO",39.7392358,-104.990251,"Hartford, CT",41.7658043,-72.6733723
